rank,university,country,raw_name,canonical_name,cluster
1,Harvard University,US,Applied Mathematics,Applied Mathematics,Mathematics
1,Harvard University,US,Bioinformatics & Genomics,Bioinformatics,Computational Biology & Bioinformatics
1,Harvard University,US,Biomedical Engineering,Biomedical Engineering,Engineering – Biomedical
1,Harvard University,US,Chemistry,Chemistry,Chemistry
1,Harvard University,US,Systems Biology,Computational Biology,Computational Biology & Bioinformatics
1,Harvard University,US,Computational Science & Engineering,Computational Science,CS & AI
1,Harvard University,US,Computer Science,Computer Science,CS & AI
1,Harvard University,US,Data Science,Data Science,CS & AI
1,Harvard University,US,Electrical Engineering,Electrical Engineering,Engineering – Electrical & Computer
1,Harvard University,US,Environmental Science & Engineering,Environmental Engineering,Engineering – Civil & Environmental
1,Harvard University,US,Mechanical Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
1,Harvard University,US,Neuroscience,Neuroscience,Computational Biology & Bioinformatics
1,Harvard University,US,Physics,Physics,Physics & Astronomy
1,Harvard University,US,Statistics,Statistics,Mathematics
2,Stanford University,US,Aeronautics & Astronautics,Aerospace Engineering,Engineering – Mechanical & Aerospace
2,Stanford University,US,Computational & Mathematical Engineering,Applied Mathematics,Mathematics
2,Stanford University,US,Bioengineering,Biomedical Engineering,Engineering – Biomedical
2,Stanford University,US,Chemical Engineering,Chemical Engineering,Engineering – Chemical & Materials
2,Stanford University,US,Chemistry & Systems Biology,Chemistry,Chemistry
2,Stanford University,US,Civil & Environmental Engineering,Civil Engineering,Engineering – Civil & Environmental
2,Stanford University,US,Biomedical Informatics,Computational Biology,Computational Biology & Bioinformatics
2,Stanford University,US,Computer Science,Computer Science,CS & AI
2,Stanford University,US,Data Science,Data Science,CS & AI
2,Stanford University,US,Earth & Planetary Sciences,Earth Sciences,Earth & Environmental Sciences
2,Stanford University,US,Electrical Engineering,Electrical Engineering,Engineering – Electrical & Computer
2,Stanford University,US,Energy Science & Engineering,Environmental Engineering,Engineering – Civil & Environmental
2,Stanford University,US,Materials Science & Engineering,Materials Science,Engineering – Chemical & Materials
2,Stanford University,US,Mathematics,Mathematics,Mathematics
2,Stanford University,US,Mechanical Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
2,Stanford University,US,Management Science & Engineering,Operations Research,Mathematics
2,Stanford University,US,Applied Physics,Physics,Physics & Astronomy
2,Stanford University,US,Statistics,Statistics,Mathematics
3,Massachusetts Institute of Technology (MIT),US,Aerospace Engineering,Aerospace Engineering,Engineering – Mechanical & Aerospace
3,Massachusetts Institute of Technology (MIT),US,Biological Engineering,Biomedical Engineering,Engineering – Biomedical
3,Massachusetts Institute of Technology (MIT),US,Chemical Engineering,Chemical Engineering,Engineering – Chemical & Materials
3,Massachusetts Institute of Technology (MIT),US,Chemistry,Chemistry,Chemistry
3,Massachusetts Institute of Technology (MIT),US,Biology,Computational Biology,Computational Biology & Bioinformatics
3,Massachusetts Institute of Technology (MIT),US,Computation for Design and Optimization,Computational Science,CS & AI
3,Massachusetts Institute of Technology (MIT),US,Computer Science & Engineering,Computer Science,CS & AI
3,Massachusetts Institute of Technology (MIT),US,Data Science & Machine Learning,Data Science,CS & AI
3,Massachusetts Institute of Technology (MIT),US,Urban Studies & Planning,Interdisciplinary Sciences,Interdisciplinary
3,Massachusetts Institute of Technology (MIT),US,Materials Science & Engineering,Materials Science,Engineering – Chemical & Materials
