programme,cluster,required,n_required,recommended,typical_offer,source_status,source_university,source_url,notes
Artificial Intelligence,CS & AI,Mathematics,1,—,A*A*A*–AAB,verified,Edinburgh,https://study.ed.ac.uk/programmes/undergraduate/388-artificial-intelligence/entry-requirements,Read from the live admissions page for Artificial Intelligence BSc (Hons).
CS & AI,CS & AI,Mathematics,1,—,A*A*A*–AAB,verified,Edinburgh,https://study.ed.ac.uk/programmes/undergraduate/66-artificial-intelligence-and-computer-science/entry-requirements,Read from the live admissions page for Artificial Intelligence and Computer Science BSc (Hons).
Computational Science,CS & AI,—,,—,none,not offered,,,"No undergraduate degree of this name at any of the 8 UK universities in the ARWU top 100. Closest: Applied Computational Science and Engineering MSc (Imperial), postgraduate."
Computer Science,CS & AI,Mathematics,1,Further Mathematics,A*A*A,verified,Cambridge,https://www.undergraduate.study.cam.ac.uk/courses/computer-science,"Read from the live admissions page for Computer Science, BA (Hons) and MEng."
Data Science,CS & AI,Mathematics,1,"Further Mathematics, Chemistry, Economics, Physics, Statistics",A*AA,verified,UCL,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/data-science-bsc-2026,Read from the live admissions page for Data Science BSc.
Biochemistry,Chemistry,Chemistry | Biology or Physics or Mathematics,2,"Mathematics, Biology",A*AA,verified,Oxford,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/biochemistry-molecular-and-cellular,Read from the live admissions page for Biochemistry (Molecular and Cellular).
Chemistry,Chemistry,Chemistry | Mathematics,2,Further Mathematics,A*A*A,verified,Oxford,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/chemistry,Read from the live admissions page for Chemistry (MChem).
Bioinformatics,Computational Biology & Bioinformatics,—,,—,none,not offered,,,"No undergraduate degree of this name at any of the 8 UK universities in the ARWU top 100. Closest: Bioinformatics MSc (Edinburgh, Bristol), postgraduate. No undergraduate degree."
Computational Biology,Computational Biology & Bioinformatics,—,,—,none,not offered,,,"No undergraduate degree of this name at any of the 8 UK universities in the ARWU top 100. Closest: a specialism inside Biological Sciences BSc/MSci (UCL), not a degree title."
Neuroscience,Computational Biology & Bioinformatics,Chemistry | Biology or Mathematics or Physics,2,—,AAA,verified,UCL,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/neuroscience-bsc-2026,Read from the live admissions page for Neuroscience BSc.
Earth Sciences,Earth & Environmental Sciences,Mathematics | Physics or Chemistry,2,"Chemistry, Physics, Biology, Further Mathematics",A*AA/AAAA,verified,Oxford,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/earth-sciences-geology,Read from the live admissions page for Earth Sciences (Geology).
Biomedical Engineering,Engineering – Biomedical,Mathematics | Physics or Biology,2,—,AAA,verified,UCL,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biomedical-engineering-meng-2026,Read from the live admissions page for Biomedical Engineering MEng.
Chemical Engineering,Engineering – Chemical & Materials,Mathematics | Chemistry,2,"Biology, Economics, Further Mathematics, Geography, Physics, Psychology",AAA,verified,UCL,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/chemical-engineering-meng-2026,Read from the live admissions page for Chemical Engineering MEng.
